dep_lat,dep_lon,arr_lat,arr_lon,flight_nb
25.253,55.364,40.08,116.585,173
40.08,116.585,25.253,55.364,174
25.253,55.364,43.677,-79.631,175
43.677,-79.631,25.253,55.364,176
25.253,55.364,49.013,2.55,177
49.013,2.55,25.253,55.364,178
25.253,55.364,21.68,39.157,179
21.68,39.157,25.253,55.364,180
25.253,55.364,21.68,39.157,181
21.68,39.157,25.253,55.364,182
25.253,55.364,21.68,39.157,183
21.68,39.157,25.253,55.364,184
25.253,55.364,21.68,39.157,185
21.68,39.157,25.253,55.364,186
25.253,55.364,21.68,39.157,187
21.68,39.157,25.253,55.364,188
25.253,55.364,48.354,11.786,189
48.354,11.786,25.253,55.364,190
25.253,55.364,49.013,2.55,191
49.013,2.55,25.253,55.364,192
25.253,55.364,40.08,116.585,193
40.08,116.585,25.253,55.364,194
25.253,55.364,51.471,-0.462,195
51.471,-0.462,25.253,55.364,196
25.253,55.364,12.99,80.169,197
12.99,80.169,25.253,55.364,198
25.253,55.364,4.192,73.529,199
4.192,73.529,25.253,55.364,200
25.253,55.364,41.8,12.239,201
41.8,12.239,25.253,55.364,202
25.253,55.364,23.843,90.398,203
23.843,90.398,25.253,55.364,204
25.253,55.364,40.64,-73.779,205
40.64,-73.779,25.253,55.364,206
25.253,55.364,41.8,12.239,207
41.8,12.239,25.253,55.364,208
25.253,55.364,40.64,-73.779,209
40.64,-73.779,25.253,55.364,210
25.253,55.364,21.68,39.157,211
21.68,39.157,25.253,55.364,212
25.253,55.364,41.8,12.239,213
41.8,12.239,25.253,55.364,214
25.253,55.364,51.471,-0.462,215
51.471,-0.462,25.253,55.364,216
25.253,55.364,37.469,126.451,217
37.469,126.451,25.253,55.364,218
25.253,55.364,2.746,101.71,219
2.746,101.71,25.253,55.364,220
25.253,55.364,31.143,121.805,221
31.143,121.805,25.253,55.364,222
25.253,55.364,2.746,101.71,223
2.746,101.71,25.253,55.364,224
25.253,55.364,41.8,12.239,225
41.8,12.239,25.253,55.364,226
25.253,55.364,-33.946,151.177,227
-33.946,151.177,-37.008,174.792,228
-37.008,174.792,-33.946,151.177,229
-33.946,151.177,25.253,55.364,230
25.253,55.364,-23.436,-46.473,231
-23.436,-46.473,25.253,55.364,232
25.253,55.364,43.677,-79.631,233
43.677,-79.631,25.253,55.364,234
25.253,55.364,31.143,121.805,235
31.143,121.805,25.253,55.364,236
25.253,55.364,-37.673,144.843,237
-37.673,144.843,-37.008,174.792,238
-37.008,174.792,-37.673,144.843,239
-37.673,144.843,25.253,55.364,240
25.253,55.364,2.746,101.71,241
2.746,101.71,25.253,55.364,242
25.253,55.364,53.349,-2.28,243
53.349,-2.28,25.253,55.364,244
25.253,55.364,40.64,-73.779,245
40.64,-73.779,25.253,55.364,246
25.253,55.364,41.8,12.239,247
41.8,12.239,25.253,55.364,248
25.253,55.364,10.152,76.402,249
10.152,76.402,25.253,55.364,250
25.253,55.364,2.746,101.71,251
2.746,101.71,25.253,55.364,252
25.253,55.364,51.471,-0.462,253
51.471,-0.462,25.253,55.364,254
25.253,55.364,21.68,39.157,255
21.68,39.157,25.253,55.364,256
25.253,55.364,35.765,140.386,257
35.765,140.386,25.253,55.364,258
25.253,55.364,2.746,101.71,259
2.746,101.71,25.253,55.364,260
25.253,55.364,35.765,140.386,261
35.765,140.386,25.253,55.364,262
25.253,55.364,43.677,-79.631,263
43.677,-79.631,25.253,55.364,264
25.253,55.364,40.64,-73.779,265
40.64,-73.779,25.253,55.364,266
25.253,55.364,43.677,-79.631,267
43.677,-79.631,25.253,55.364,268
25.253,55.364,40.08,116.585,269
40.08,116.585,25.253,55.364,270
25.253,55.364,49.013,2.55,271
